step,time,old_pos,new_pos,step_pnl,portfolio_value
1,2023-05-04 02:59:00,[-0.42011112],[-0.5],7.661979765523993,98228.01724020735
2,2023-05-04 03:59:00,[-0.5],[-0.5],-60.38002572943739,98167.63721447792
3,2023-05-04 04:59:00,[-0.5],[-0.5],-85.36645300080977,98082.2707614771
4,2023-05-04 05:59:00,[-0.5],[-0.5],-129.1913519735745,97953.07940950354
5,2023-05-04 06:59:00,[-0.5],[-0.5],-13.927010710749482,97939.1523987928
6,2023-05-04 07:59:00,[-0.5],[-0.5],130.07308289813614,98069.22548169093
7,2023-05-04 08:59:00,[-0.5],[-0.5],17.127924858245272,98086.35340654917
8,2023-05-04 09:59:00,[-0.5],[-0.5],15.693046600925666,98102.04645315009
9,2023-05-04 10:59:00,[-0.5],[-0.5],10.79187149696163,98112.83832464705
10,2023-05-04 11:59:00,[-0.5],[-0.5],-115.31177472361142,97997.52654992344
11,2023-05-04 12:59:00,[-0.5],[-0.5],13.015596320260567,98010.5421462437
12,2023-05-04 13:59:00,[-0.5],[-0.5],158.46607657626797,98169.00822281996
13,2023-05-04 14:59:00,[-0.5],[-0.5],-31.02001981092126,98137.98820300904
14,2023-05-04 15:59:00,[-0.5],[-0.5],-149.07002967306303,97988.91817333597
15,2023-05-04 16:59:00,[-0.5],[-0.5],-113.99073188146264,97874.9274414545
16,2023-05-04 17:59:00,[-0.5],[-0.5],31.214958984500605,97906.14240043901
17,2023-05-04 18:59:00,[-0.5],[-0.5],-167.85900364155364,97738.28339679746
18,2023-05-04 19:59:00,[-0.5],[-0.5],-79.37967172982243,97658.90372506763
19,2023-05-04 20:59:00,[-0.5],[-0.5],56.76227787000432,97715.66600293764
20,2023-05-04 21:59:00,[-0.5],[-0.5],10.500945769501918,97726.16694870713
21,2023-05-04 22:59:00,[-0.5],[-0.5],-41.60352283266437,97684.56342587447
22,2023-05-04 23:59:00,[-0.5],[-0.5],47.08227518199625,97731.64570105646
23,2023-05-05 00:59:00,[-0.5],[-0.5],-103.0001301708003,97628.64557088567
24,2023-05-05 01:59:00,[-0.5],[-0.5],-195.75305840709814,97432.89251247857
25,2023-05-05 02:59:00,[-0.5],[-0.5],139.19040333481522,97572.08291581339
26,2023-05-05 03:59:00,[-0.5],[-0.5],34.86350754090892,97606.9464233543
27,2023-05-05 04:59:00,[-0.5],[-0.5],-59.59148371084515,97547.35493964345
28,2023-05-05 05:59:00,[-0.5],[-0.5],49.38580931573826,97596.74074895919
29,2023-05-05 06:59:00,[-0.5],[-0.5],85.31219065826366,97682.05293961745
30,2023-05-05 07:59:00,[-0.5],[-0.5],32.47024656791351,97714.52318618537
31,2023-05-05 08:59:00,[-0.5],[-0.5],47.951248871694986,97762.47443505707
32,2023-05-05 09:59:00,[-0.5],[-0.5],15.752237129687185,97778.22667218675
33,2023-05-05 10:59:00,[-0.5],[-0.5],95.40115378444264,97873.6278259712
34,2023-05-05 11:59:00,[-0.5],[-0.5],78.94605731678419,97952.57388328799
35,2023-05-05 12:59:00,[-0.5],[-0.5],182.47304936218325,98135.04693265018
36,2023-05-05 13:59:00,[-0.5],[-0.5],292.4652369053635,98427.51216955554
37,2023-05-05 14:59:00,[-0.5],[-0.5],208.6190217599296,98636.13119131548
38,2023-05-05 15:59:00,[-0.5],[-0.5],13.175440151048942,98649.30663146653
39,2023-05-05 16:59:00,[-0.5],[-0.5],541.4897648985522,99190.79639636508
40,2023-05-05 17:59:00,[-0.5],[-0.5],192.69638603779268,99383.49278240287
41,2023-05-05 18:59:00,[-0.5],[-0.5],-186.4611568762125,99197.03162552665
42,2023-05-05 19:59:00,[-0.5],[-0.5],19.689994703037335,99216.72162022968
43,2023-05-05 20:59:00,[-0.5],[-0.5],10.007297721284118,99226.72891795097
44,2023-05-05 21:59:00,[-0.5],[-0.5],-67.45121412364738,99159.27770382732
45,2023-05-05 22:59:00,[-0.5],[-0.5],-87.76538970217211,99071.51231412515
46,2023-05-05 23:59:00,[-0.5],[-0.5],245.7658724855084,99317.27818661067
47,2023-05-06 00:59:00,[-0.5],[-0.5],-70.16716809985832,99247.11101851081
48,2023-05-06 01:59:00,[-0.5],[-0.5],-246.510182354732,99000.60083615608
49,2023-05-06 02:59:00,[-0.5],[-0.5],10.255753023742987,99010.85658917982
50,2023-05-06 03:59:00,[-0.5],[-0.5],-39.1775857629347,98971.67900341688
51,2023-05-06 04:59:00,[-0.5],[-0.5],-128.62910390243474,98843.04989951444
52,2023-05-06 05:59:00,[-0.5],[-0.5],-151.55115663759918,98691.49874287685
53,2023-05-06 06:59:00,[-0.5],[-0.5],33.44132556241637,98724.94006843926
54,2023-05-06 07:59:00,[-0.5],[-0.5],-134.97936731086943,98589.9607011284
55,2023-05-06 08:59:00,[-0.5],[-0.5],-318.593942163015,98271.36675896538
56,2023-05-06 09:59:00,[-0.5],[-0.5],-153.79641805023522,98117.57034091515
57,2023-05-06 10:59:00,[-0.5],[-0.5],-102.16122525712228,98015.40911565803
58,2023-05-06 11:59:00,[-0.5],[-0.5],126.13429154761911,98141.54340720564
59,2023-05-06 12:59:00,[-0.5],[-0.5],-312.980997894603,97828.56240931104
60,2023-05-06 13:59:00,[-0.5],[-0.5],-18.004950510364168,97810.55745880067
61,2023-05-06 14:59:00,[-0.5],[-0.5],-115.6016454883918,97694.95581331228
62,2023-05-06 15:59:00,[-0.5],[-0.5],106.30064013996716,97801.25645345224
63,2023-05-06 16:59:00,[-0.5],[-0.5],-117.7222093486782,97683.53424410356
64,2023-05-06 17:59:00,[-0.5],[-0.5],-128.0679702745167,97555.46627382905
65,2023-05-06 18:59:00,[-0.5],[-0.5],238.32127942651738,97793.78755325556
66,2023-05-06 19:59:00,[-0.5],[-0.5],49.6686901858762,97843.45624344144
67,2023-05-06 20:59:00,[-0.5],[-0.5],-36.47294500031196,97806.98329844113
68,2023-05-06 21:59:00,[-0.5],[-0.5],-3.700018049080147,97803.28328039205
69,2023-05-06 22:59:00,[-0.5],[-0.5],-67.51059062939257,97735.77268976266
70,2023-05-06 23:59:00,[-0.5],[-0.5],19.496135677714292,97755.26882544038
71,2023-05-07 00:59:00,[-0.5],[-0.5],54.12584222217523,97809.39466766255
72,2023-05-07 01:59:00,[-0.5],[-0.5],-66.14710733994272,97743.2475603226
73,2023-05-07 02:59:00,[-0.5],[-0.5],-114.94563820301903,97628.30192211959
74,2023-05-07 03:59:00,[-0.5],[-0.5],69.97139848913952,97698.27332060873
75,2023-05-07 04:59:00,[-0.5],[-0.5],-44.227538508845456,97654.04578209989
76,2023-05-07 05:59:00,[-0.5],[-0.5],63.140343848620766,97717.1861259485
77,2023-05-07 06:59:00,[-0.5],[-0.5],-20.00555202655635,97697.18057392194
78,2023-05-07 07:59:00,[-0.5],[-0.5],95.74322560387122,97792.92379952582
79,2023-05-07 08:59:00,[-0.5],[-0.5],-2.027220120509025,97790.89657940531
80,2023-05-07 09:59:00,[-0.5],[-0.5],98.383541569731,97889.28012097503
81,2023-05-07 10:59:00,[-0.5],[-0.5],8.728144203065003,97898.0082651781
82,2023-05-07 11:59:00,[-0.5],[-0.5],-119.87447819147226,97778.13378698663
83,2023-05-07 12:59:00,[-0.5],[-0.5],79.78403790026346,97857.91782488688
84,2023-05-07 13:59:00,[-0.5],[-0.5],80.6908068427046,97938.60863172958
85,2023-05-07 14:59:00,[-0.5],[-0.5],109.8657764083597,98048.47440813795
86,2023-05-07 15:59:00,[-0.5],[-0.5],-101.82998960400315,97946.64441853395
87,2023-05-07 16:59:00,[-0.5],[-0.5],-77.26319043283513,97869.38122810112
88,2023-05-07 17:59:00,[-0.5],[-0.5],-36.80133991824296,97832.57988818288
89,2023-05-07 18:59:00,[-0.5],[-0.5],49.59156728084277,97882.17145546373
90,2023-05-07 19:59:00,[-0.5],[-0.5],-24.76249312864524,97857.40896233509
91,2023-05-07 20:59:00,[-0.5],[-0.5],69.60100599748995,97927.00996833258
92,2023-05-07 21:59:00,[-0.5],[-0.5],38.40433294604961,97965.41430127864
93,2023-05-07 22:59:00,[-0.5],[-0.5],14.870352522349652,97980.28465380099
94,2023-05-07 23:59:00,[-0.5],[-0.5],-412.37951386459844,97567.9051399364
95,2023-05-08 00:59:00,[-0.5],[-0.5],32.049444149117974,97599.95458408551
96,2023-05-08 01:59:00,[-0.5],[-0.5],-181.50695299743148,97418.44763108809
97,2023-05-08 02:59:00,[-0.5],[-0.5],64.99117660756443,97483.43880769565
98,2023-05-08 03:59:00,[-0.5],[-0.5],291.15493260877554,97774.59374030442
99,2023-05-08 04:59:00,[-0.5],[-0.5],-60.95020379811843,97713.64353650631
100,2023-05-08 05:59:00,[-0.5],[-0.5],0.9939163981512689,97714.63745290446
101,2023-05-08 06:59:00,[-0.5],[-0.5],-4.110059133581486,97710.52739377087
102,2023-05-08 07:59:00,[-0.5],[-0.5],46.466396294520855,97756.99379006539
103,2023-05-08 08:59:00,[-0.5],[-0.5],236.6647745950803,97993.65856466047
104,2023-05-08 09:59:00,[-0.5],[-0.5],-21.35361106903151,97972.30495359143
105,2023-05-08 10:59:00,[-0.5],[-0.5],-50.27080749421447,97922.03414609721
106,2023-05-08 11:59:00,[-0.5],[-0.5],163.412435093738,98085.44658119095
107,2023-05-08 12:59:00,[-0.5],[-0.5],65.27749889267503,98150.72408008362
108,2023-05-08 13:59:00,[-0.5],[-0.5],-55.837468410422304,98094.8866116732
109,2023-05-08 14:59:00,[-0.5],[-0.5],34.676468670547145,98129.56308034374
110,2023-05-08 15:59:00,[-0.5],[-0.5],79.06743629142744,98208.63051663517
111,2023-05-08 16:59:00,[-0.5],[-0.5],-149.4021615593893,98059.22835507577
112,2023-05-08 17:59:00,[-0.5],[-0.5],-280.67516043612125,97778.55319463965
113,2023-05-08 18:59:00,[-0.5],[-0.5],196.33065495129205,97974.88384959094
114,2023-05-08 19:59:00,[-0.5],[-0.5],205.16294337979193,98180.04679297074
115,2023-05-08 20:59:00,[-0.5],[-0.5],-111.6780117037595,98068.36878126698
116,2023-05-08 21:59:00,[-0.5],[-0.5],12.429026532360222,98080.79780779935
117,2023-05-08 22:59:00,[-0.5],[-0.5],-22.6419258460015,98058.15588195334
118,2023-05-08 23:59:00,[-0.5],[-0.5],-34.683159392521965,98023.47272256082
119,2023-05-09 00:59:00,[-0.5],[-0.5],38.3620404704951,98061.83476303132
120,2023-05-09 01:59:00,[-0.5],[-0.5],-1.5231261158088873,98060.31163691552
121,2023-05-09 02:59:00,[-0.5],[-0.5],-33.45631994515845,98026.85531697037
122,2023-05-09 03:59:00,[-0.5],[-0.5],-45.237409956257274,97981.61790701411
123,2023-05-09 04:59:00,[-0.5],[-0.5],-74.62389036356012,97906.99401665055
124,2023-05-09 05:59:00,[-0.5],[-0.5],115.62891246859513,98022.62292911916
